x,y
107,65
109,72
110,75
111,79
113,84
116,92
119,100
120,105
125,118
129,124
132,132
136,138
141,145
143,148
145,151
151,163
103,100
113,128
136,172
146,207
152,171
155,182
156,188
163,220
169,240
146,154
147,156
148,158
152,165
153,165
153,166
153,167
154,168
154,169
154,171
155,172
156,174
156,176
156,178
157,180
157,182
158,184
158,186
158,188
159,191
159,194
160,197
172,243
173,245
173,246
174,248
175,250
175,251
176,252
176,253
177,255
174,254
161,200
161,204
162,206
162,209
166,223
166,224
167,225
167,227
167,228
168,229
168,230
169,232
169,233
170,235
170,237
170,238
171,240
