threshold,mean_recall,std_recall,lower_ci,upper_ci
6,0.6233502715962845,0.012591176552685966,0.6226444807493364,0.6240560624432326
7,0.6635635435179856,0.011779565899124315,0.6629032470192561,0.6642238400167152
8,0.6940038549150166,0.011396035623492584,0.6933650569757692,0.694642652854264
9,0.7183864427144623,0.011462367835689836,0.7177439265628596,0.719028958866065
10,0.7397456757365625,0.01161998038118188,0.7390943247082897,0.7403970267648352
11,0.7589681844351537,0.011834360402975011,0.7583048164633875,0.7596315524069198
12,0.7769385967108051,0.011802493661795393,0.7762770150100957,0.7776001784115145
13,0.7934616636211164,0.01172800393913946,0.7928042573971166,0.7941190698451162
14,0.8091932213572367,0.011659802551212975,0.8085396381211162,0.8098468045933572
15,0.8235415154321738,0.011458217224441677,0.8228992319405942,0.8241837989237534
16,0.8363613607349337,0.011287056942265918,0.8357286715302752,0.8369940499395923
17,0.8482860647325334,0.010982616399162957,0.8476704407598541,0.8489016887052128
18,0.8594337780670358,0.010826643375381268,0.8588268970686206,0.860040659065451
19,0.8700553205336827,0.010533789962946368,0.8694648552575894,0.870645785809776
20,0.8797596936093522,0.010268463249316202,0.8791841010629953,0.8803352861557092
